rank,gene,prot_log2fc,prot_fdr,rna_log2fc,rna_fdr,uniprot,locations,surface_secreted,loc_reason,immune_rho,immune_infiltration_flag,assoc_expr,tractability,safety,selectivity,composite_0_100,retained_top12,n_agents,max_clinical_phase,any_indication_positive,ccrcc_direct_positive,ccrcc_interventional,agent_modality,agents,ccrcc_agents,example_ncts
70,COL8A1,1.2469592740730537,3.8312588281036686e-24,2.0211093299659,9.124624129109047e-21,P27658,"Secreted, extracellular space, extracellular matrix, basement membrane",True,"locs=['Secreted, extracellular space, extracellular matrix, basement membrane']; secreted=True; cellmem=False; kw_access=True",0.17557498047711412,False,3.01,1.5,4.2,2.8,56.4,False,0,0,False,False,False,,,,
71,LILRB2,1.302568053712596,9.622920110022568e-22,1.2306653490841903,5.716147571534397e-25,Q8N423,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.6890469738030713,True,2.23,3.0,4.2,1.8,56.2,False,0,0,False,False,False,,,,
72,LOXL3,1.4002641782869696,4.351068555123545e-15,0.9067951906461547,2.613520105714771e-27,P58215,"Secreted, extracellular space; Cytoplasm; Nucleus; Secreted, extracellular space; Cytoplasm; Secreted, extracellular space",True,"locs=['Secreted, extracellular space', 'Secreted, extracellular space', 'Secreted, extracellular space']; secreted=True; cellmem=False; kw_access=True",0.17711856960857533,False,2.13,3.0,4.2,1.9,55.9,False,0,0,False,False,False,,,,
73,BTN3A1,1.262818374514411,8.236208136504304e-27,1.8721018003908543,2.6141340936578087e-28,O00481,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.2685277719335157,False,2.92,3.0,4.2,0.2,55.5,False,0,0,False,False,False,,,,
74,VIM,1.1656076837750002,1.2785209114886742e-30,2.711802080057054,2.3352100538477988e-27,P08670,"Cytoplasm; Cytoplasm, cytoskeleton; Nucleus matrix; Cell membrane; Cell projection, axon",True,"locs=['Cell membrane', 'Cell projection, axon']; secreted=False; cellmem=True; kw_access=True",0.011076798232761535,False,3.15,1.5,4.2,2.0,54.7,False,1,2,True,False,False,,PRITUMUMAB,,
75,MMP14,1.2875762475567074,1.1467814136327077e-30,1.5411496270266944,8.929633678355932e-27,P50281,Cell membrane; Melanosome; Cytoplasm,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.33125352207921016,False,2.58,3.0,3.4,1.2,53.0,False,2,3,True,False,False,,CTS-1027; REBIMASTAT,,
76,IL32,1.4961756957689611,2.2535555354391556e-15,1.0068945302834633,1.6577409506257592e-13,P24001,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.10895140664961636,False,2.4,1.5,3.2,4.3,52.9,False,0,0,False,False,False,,,,
77,KEL,1.1876904253549738,4.4513729219884855e-06,0.0159643814026168,0.5122341649856109,P23276,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.1974025974025974,False,1.03,1.5,4.7,5.0,52.8,False,0,0,False,False,False,,,,
78,ICAM1,1.3038756179604747,1.1467814136327077e-30,1.6662378655545962,6.702274856269657e-22,P05362,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.40914726235827154,True,2.78,1.5,3.2,3.5,52.8,False,3,3,True,False,False,,ALICAFORSEN; BI-505; ENLIMOMAB PEGOL,,
79,CD180,1.059865171185351,2.1253865459317596e-30,1.1182099241534216,2.799001334376391e-26,Q99467,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.5268579672249396,True,1.17,1.5,4.7,4.3,51.4,False,0,0,False,False,False,,,,
80,CDH13,1.1936495189228857,3.078465945225961e-28,1.7868589901153153,1.3871018991804415e-22,P55290,Cell membrane; Cytoplasm,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.2796068796068796,False,2.63,1.5,3.7,2.7,51.3,False,0,0,False,False,False,,,,
81,ADGRE2,1.031860394311494,3.6038489847683754e-16,0.8483191445987692,5.890017795553264e-22,Q9UHX3,"Cell membrane; Cell projection, ruffle membrane",True,"locs=['Cell membrane', 'Cell projection, ruffle membrane']; secreted=False; cellmem=True; kw_access=True",0.5043898156277437,True,0.65,3.0,4.7,2.7,50.9,False,0,0,False,False,False,,,,
82,OLFML2A,1.0749826614764502,1.1722723983476305e-23,1.5817177640356244,6.801940600601538e-20,Q68BL7,Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,-0.33085106382978724,False,1.84,1.5,4.7,2.7,50.5,False,0,0,False,False,False,,,,
83,HAPLN3,1.1383838410026783,2.0377329963072817e-22,1.3867003210300533,2.5179211992270763e-24,Q96S86,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.30531341317858174,False,1.82,1.5,4.7,2.7,50.4,False,0,0,False,False,False,,,,
84,EGFR,1.0520515650504476,1.1467814136327077e-30,1.4434402499266317,1.965988371907969e-25,P00533,Cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Nucleus membrane; Endosome; Endosome membrane; Nucleus; Secreted,True,"locs=['Cell membrane', 'Secreted']; secreted=True; cellmem=True; kw_access=True",-0.2518089398823344,False,1.55,3.0,3.2,2.7,50.2,False,82,3,True,True,True,,ABIVERTINIB; ABIVERTINIB MALEATE; AC-480; AEE-788; AFATINIB; AFATINIB DIMALEATE; ALLITINIB; AMIVANTAMAB; AUMOLERTINIB; AV-412; AZD-3759; AZD-4769; BAFISONTAMAB; BMS-690514; BRIGATINIB; CANERTINIB; CANERTINIB DIHYDROCHLORIDE; CEP-32496; CETUXIMAB; CETUXIMAB SAROTALOCAN; CLN-081; CUDC-101; DACOMITINIB,AFATINIB; AFATINIB DIMALEATE; CETUXIMAB; ERLOTINIB; ERLOTINIB HYDROCHLORIDE; GEFITINIB; LAPATINIB; LAPATINIB DITOSYLATE; OSIMERTINIB; OSIMERTINIB MESYLATE; PANITUMUMAB; VANDETANIB,NCT00004879;NCT00012337;NCT00014144;NCT00014183;NCT00030498
85,IGFLR1,1.0339380134171536,1.1812167125710092e-08,0.8502153772910812,3.8993834055015215e-18,Q9H665,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.14995076243621497,False,0.69,3.0,3.2,4.3,49.8,False,0,0,False,False,False,,,,
86,ECSCR,1.0511628897245744,2.1948907950873625e-19,1.2559721388380964,6.587703421859811e-19,Q19T08,Cell membrane; Cytoplasm,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.21959423761051036,False,1.28,1.5,4.7,3.5,49.4,False,0,0,False,False,False,,,,
87,LILRB1,1.0826035308686979,2.270444165575145e-11,1.6925820995013878,4.8524280566550075e-28,Q8NHL6,Cell membrane; Secreted,True,"locs=['Cell membrane', 'Secreted']; secreted=True; cellmem=True; kw_access=True",0.2777777777777778,False,2.06,1.5,4.7,1.8,49.0,False,0,0,False,False,False,,,,
88,TRPV2,1.1333950449962102,1.7683498609742997e-26,1.7054086228588865,3.585432897739871e-28,Q9Y5S1,Cell membrane; Cytoplasm; Melanosome,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.6163498552714035,True,2.27,1.5,4.2,1.9,48.5,False,0,0,False,False,False,,,,
89,LILRB4,1.1648915100622752,5.341323960045557e-09,2.173780239037048,3.3104419910882793e-28,Q8NHJ6,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.6594746716697936,True,2.85,1.5,3.2,2.0,48.2,False,0,0,False,False,False,,,,
90,CDH4,1.599827873690112,1.4491539896072667e-15,1.0322120324427013,4.2770174788365944e-08,P55283,Cell membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.166046123923312,False,2.64,1.5,2.7,2.8,47.3,False,0,0,False,False,False,,,,
91,PLOD3,1.3380107921066462,1.1467814136327077e-30,1.0561422152997362,1.2220958014660975e-26,O60568,"Rough endoplasmic reticulum; Endoplasmic reticulum lumen; Endoplasmic reticulum membrane; Secreted; Secreted, extracellular space",True,"locs=['Secreted', 'Secreted, extracellular space']; secreted=True; cellmem=False; kw_access=True",0.12950882492166896,False,2.1,1.5,4.2,1.9,47.3,False,0,0,False,False,False,,,,
92,SORCS3,1.0958691334568982,1.764682830030021e-07,1.0189973038925015,0.027295781681265105,Q9UPU3,Cell membrane; Synaptic cell membrane; Postsynaptic density,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,-0.17792207792207793,False,1.23,3.0,2.7,2.7,45.9,False,0,0,False,False,False,,,,
93,ADAMTS7,1.6170601164105065,1.4628871549711808e-19,0.7023760857075914,2.2340101709847465e-22,Q9UKP4,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",-0.1716361931551805,False,2.41,1.5,2.7,2.0,43.1,False,0,0,False,False,False,,,,
94,NEFL,1.255915727618362,6.377428372887012e-16,1.0822347200381164,0.00021687888760065952,P07196,"Cell projection, axon; Cytoplasm, cytoskeleton",True,"locs=['Cell projection, axon']; secreted=False; cellmem=True; kw_access=True",0.2903906408493564,False,1.87,1.5,2.7,2.8,42.1,False,0,0,False,False,False,,,,
95,COL3A1,1.2820392988449167,2.4370430284707617e-26,1.1811520546954597,2.4015730292568345e-09,P02461,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.061614408403399226,False,2.1,1.5,2.9,2.0,41.9,False,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
96,TGFB3,1.3486868903116214,3.9819707006188237e-10,0.43137462016966666,2.3963575828641247e-05,P10600,"Secreted, extracellular space, extracellular matrix; Secreted",True,"locs=['Secreted, extracellular space, extracellular matrix', 'Secreted']; secreted=True; cellmem=False; kw_access=True",0.303670745272525,False,1.73,1.5,3.4,1.9,41.3,False,3,3,True,True,True,,BINTRAFUSP ALFA; FRESOLIMUMAB; LUSPATERCEPT,BINTRAFUSP ALFA; FRESOLIMUMAB,NCT00356460;NCT00923169;NCT04235777;NCT04648826
97,SLC1A4,1.2335500489593052,1.1102323887404414e-24,1.340724894970431,2.6141340936578087e-28,P43007,Cell membrane; Melanosome membrane,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.13612670408981556,False,2.1,1.5,2.7,2.0,41.0,False,0,0,False,False,False,,,,
98,COL5A2,1.1322113010637596,7.90133896271048e-28,1.5476977291006646,1.1571235437028129e-21,P05997,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",0.07589658048373643,False,2.02,1.5,3.4,1.2,40.9,False,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
99,MET,1.0823020151609124,1.2710172662397035e-30,1.3619476278077238,6.385753414297159e-25,P08581,Membrane; Secreted,True,locs=['Secreted']; secreted=True; cellmem=False; kw_access=True,0.04668304668304668,False,1.62,1.5,2.2,3.5,40.6,False,38,3,True,True,True,,ALTIRATINIB; AMG-208; AMG-337; AMIVANTAMAB; AMUVATINIB; ARRY-300; BAFISONTAMAB; BEPERMINOGENE PERPLASMID; BMS-777607; BMS-817378; BPI-9016; CABOZANTINIB; CABOZANTINIB S-MALATE; CAPMATINIB; CAPMATINIB HYDROCHLORIDE; CRIZOTINIB; EMD-1204831; EMIBETUZUMAB; FORETINIB; GLESATINIB; GOLVATINIB; JNJ-3887760,CABOZANTINIB; CABOZANTINIB S-MALATE; CAPMATINIB; CRIZOTINIB; EMIBETUZUMAB; FORETINIB; NINGETINIB; SAVOLITINIB; TIVANTINIB,NCT00557609;NCT00726323;NCT00827177;NCT01178411;NCT01324479
100,NCEH1,1.0859924359128412,3.6171921076530295e-29,0.6408125192947907,2.059230471511496e-10,Q6PIU2,Cell membrane; Microsome,True,locs=['Cell membrane']; secreted=False; cellmem=True; kw_access=True,0.22687825440119017,False,0.95,1.5,4.2,1.9,39.7,False,0,0,False,False,False,,,,
101,COL5A1,1.2825920648679694,3.646723693233318e-05,0.7999753094968864,4.5190800632450075e-06,P20908,"Secreted, extracellular space, extracellular matrix",True,"locs=['Secreted, extracellular space, extracellular matrix']; secreted=True; cellmem=False; kw_access=True",-0.0818746470920384,False,1.7,1.5,3.4,1.0,38.1,False,2,0,False,False,False,,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM; OCRIPLASMIN,,
